         4658 function calls (4644 primitive calls) in 6.893 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.000    0.000 _adapters_map.py:258(get_loader)
        3    0.000    0.000    0.000    0.000 _queries.py:45(__init__)
        3    0.000    0.000    0.000    0.000 <frozen ntpath>:261(dirname)
        2    0.000    0.000    0.000    0.000 contextlib.py:303(helper)
       13    0.000    0.000    0.000    0.000 _cursor_base.py:69(_reset)
        5    0.000    0.000    0.000    0.000 selectors.py:206(__exit__)
        3    0.000    0.000    0.000    0.000 _preparing.py:83(_should_discard)
        2    0.000    0.000    2.192    1.096 contextlib.py:136(__enter__)
        1    0.000    0.000    0.000    0.000 uuid.py:38(__init__)
       15    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        8    0.000    0.000    0.000    0.000 configparser.py:568(has_comments)
        2    0.000    0.000    0.000    0.000 contextlib.py:145(__exit__)
        5    0.000    0.000    0.000    0.000 _cursor_base.py:618(_close)
        3    0.000    0.000    0.000    0.000 {built-in method nt._path_normpath}
        3    0.000    0.000    0.000    0.000 _cursor_base.py:309(_get_prepared)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        5    0.000    0.000    0.000    0.000 cursor.py:60(close)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        5    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 enum.py:691(__call__)
        1    0.000    0.000    0.000    0.000 threading.py:281(__init__)
        5    0.000    0.000    0.000    0.000 <frozen codecs>:263(__init__)
        3    0.000    0.000    0.000    0.000 _cursor_base.py:573(_check_result_for_fetch)
        3    0.000    0.000    0.000    0.000 _cursor_base.py:458(_check_results)
        1    0.000    0.000    0.000    0.000 director.py:10(__init__)
        5    0.000    0.000    0.000    0.000 _connection_base.py:394(prepare_threshold)
        4    0.000    0.000    0.000    0.000 misc.py:170(<genexpr>)
        2    0.000    0.000    0.000    0.000 contextlib.py:450(__exit__)
       10    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       10    0.000    0.000    0.000    0.000 _typeinfo.py:226(__init__)
        2    0.000    0.000    0.000    0.000 configparser.py:551(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:592(__init__)
        5    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        3    0.000    0.000    0.000    0.000 <frozen ntpath>:34(_get_bothseps)
       28    0.000    0.000    0.000    0.000 configparser.py:389(before_read)
        9    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        3    0.000    0.000    0.000    0.000 _preparing.py:111(_rotate)
        3    0.000    0.000    0.000    0.000 cursor.py:77(_make_row_maker)
       12    0.000    0.000    0.000    0.000 configparser.py:1226(converters)
